order,seasonal_order,MAPE,RMSE,MAPA (%)
"(1, 1, 0)","(0, 1, 1, 12)",0.0051,114952051.63,99.49
"(1, 1, 0)","(1, 0, 0, 12)",0.0054,105245572.83,99.46
"(1, 1, 0)","(1, 0, 1, 12)",0.0053,105821665.52,99.47
"(1, 1, 0)","(1, 1, 0, 12)",0.0053,116781524.73,99.47
"(1, 1, 0)","(1, 1, 1, 12)",0.0053,117270734.14,99.47
"(1, 1, 1)","(0, 0, 0, 12)",0.0215,392069469.0,97.85
"(1, 1, 1)","(0, 0, 1, 12)",0.0195,369511778.47,98.05
"(1, 1, 1)","(0, 1, 0, 12)",0.0051,116518208.58,99.49
"(1, 1, 1)","(0, 1, 1, 12)",0.0044,97362050.18,99.56
"(1, 1, 1)","(1, 0, 0, 12)",0.0054,104581357.48,99.46
"(1, 1, 1)","(1, 0, 1, 12)",0.0052,102386680.67,99.48
"(1, 1, 1)","(1, 1, 0, 12)",0.0055,119779096.86,99.45
"(1, 1, 1)","(1, 1, 1, 12)",0.0052,115844221.38,99.48
"(1, 1, 2)","(0, 0, 0, 12)",0.0214,394471237.72,97.86
"(1, 1, 2)","(0, 0, 1, 12)",0.0181,342878291.79,98.19
"(1, 1, 2)","(0, 1, 0, 12)",0.0049,111853495.87,99.51
"(1, 1, 2)","(0, 1, 1, 12)",0.0044,100547949.47,99.56
"(1, 1, 2)","(1, 0, 0, 12)",0.0054,104777835.82,99.46
"(1, 1, 2)","(1, 0, 1, 12)",0.0049,96820379.16,99.51
"(1, 1, 2)","(1, 1, 0, 12)",0.0055,119743628.38,99.45
"(1, 1, 2)","(1, 1, 1, 12)",0.0043,102521100.53,99.57
"(1, 2, 0)","(0, 0, 0, 12)",0.0359,667992853.88,96.41
"(1, 2, 0)","(0, 0, 1, 12)",0.0471,852946891.06,95.29
"(1, 2, 0)","(0, 1, 0, 12)",0.0049,107732395.51,99.51
"(1, 2, 0)","(0, 1, 1, 12)",0.0161,295202228.94,98.39
"(1, 2, 0)","(1, 0, 0, 12)",0.006,109377110.34,99.4
"(1, 2, 0)","(1, 0, 1, 12)",0.0053,97137794.78,99.47
"(1, 2, 0)","(1, 1, 0, 12)",0.0656,1159008713.72,93.44
"(1, 2, 0)","(1, 1, 1, 12)",0.0663,1171705108.08,93.37
